Subject_ID,zfALFF_rHipp_L,zfALFF_mAmyg_L,zfALFF_17Networks_RH_ContA_PFCl_4,zfALFF_17Networks_RH_ContA_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFCl_1,zfALFF_17Networks_RH_SalVentAttnB_PFClv_1,zfALFF_17Networks_RH_SomMotB_S2_6,zfALFF_17Networks_RH_SomMotB_S2_1,zfALFF_17Networks_RH_SomMotA_1,zfALFF_17Networks_LH_LimbicA_TempPole_6,zfALFF_17Networks_LH_SalVentAttnA_Ins_1,zDCbin_17Networks_LH_SalVentAttnA_FrMed_2,zDCbin_17Networks_LH_SalVentAttnA_FrMed_1
sub-0015,-0.6433427576,-0.7957872952,0.6806788177,0.4603244305,0.9384054119,0.709933398,0.3532452787,-0.01360749,0.4989293917,-0.1992769234,-0.337453372,0.171892771,0.283030476
sub-0085,-0.5217287337,-0.5581709859,0.5062956091,0.5343367917,0.2212186311,0.4687669387,0.1486599192,0.02202194519,0.09175253634,-0.00572795717,-0.1028037312,0.118241967,0.198876
sub-0134,-0.7570144778,-0.7615223676,0.7038521559,0.6057680334,0.8825662722,0.6440312934,0.7568260417,0.5175789344,0.1951974868,-0.1585642809,-0.1267242937,0.219087814,0.184052269
sub-0152,-0.2273661693,-0.1948980733,0.01294438788,0.2365917557,0.2914214129,0.3845895698,0.06521581664,-0.1408756951,0.02284299946,0.2119629652,-0.08122959226,-0.020434054,0.036064198
sub-0260,-0.6084272727,-0.5327099082,1.066918468,0.4724146066,0.4864127912,0.4216657743,-0.02466889112,0.007438465953,-0.04224922204,0.1130333195,-0.1931180808,0.166024243,0.144340915
sub-0307,-0.7286329591,-0.7658911309,0.8305003216,0.6933297575,0.6645246074,0.3793202504,0.3347654056,0.1006965998,-0.1035082045,-0.07598920777,-0.1569258592,0.107136791,0.276041692
sub-0334,-0.6262017235,-0.4355683337,0.3333207354,0.6200812669,0.6142562198,0.4943025678,0.2638922327,0.03922584764,0.3419174347,-0.09194520024,-0.2192458339,0.145740948,0.056962011
sub-0517,-0.4175775201,-0.6396184918,0.2987680269,0.4753230249,0.3212562678,0.1632903682,0.1001637031,0.1283470319,-0.3328365214,-0.1680549176,-0.2125335391,0.155431872,-0.040609194
sub-0526,-0.6037333759,-0.416693868,1.006580229,0.2786219659,0.4629705484,0.6717997402,0.3410746398,0.1938278048,-0.06105755239,-0.1238781926,-0.1368182724,0.003097032,-0.060813241
sub-0550,-0.8047344079,-0.7611604298,0.7508767616,0.8148652177,0.8133729298,0.8694553316,0.2064067363,-0.03735431626,0.1290369558,-0.2191016078,-0.2609841849,-0.023402564,-0.081073525
sub-0575,0.2085965525,-0.04444646201,0.1182251042,0.3041159983,0.3321779141,0.3525938038,0.3629430455,0.2889925256,-0.09050511037,0.202989625,-0.156714756,0.060391892,0.190526443
sub-0613,-0.5622974326,-0.5113208278,0.6461967491,0.5599911084,0.2535639689,0.7923117691,0.1627655662,0.1225852776,0.1042707992,-0.06439436007,-0.03082157478,0.166387595,0.069104018
sub-0616,-0.2514824678,-0.2921964522,0.2873407476,0.4829598921,0.1970118721,0.4760129214,0.5388587557,0.4383005435,0.008940325389,-0.08111475864,-0.2582123748,0.274997257,-0.095007348
sub-0718,-0.7087775724,-0.5716462946,0.685237442,0.6392852727,0.6945657574,0.7452789383,0.5219324433,0.07655698687,0.3511165397,-0.2408417121,-0.4267374915,0.069199421,0.121434669
sub-0755,-0.5538070054,-0.6205219091,0.2554981846,0.03756303506,-0.0250586703,0.2610975438,0.2732564416,0.1219418229,-0.2517963167,-0.09865410717,-0.3962420516,0.066744445,0.110390328
sub-0788,-0.4064929871,-0.6569332494,0.6500073245,0.7297451427,0.8327552915,0.5924336244,0.4048304034,0.5086162203,0.3650032922,-0.2254628624,-0.2103539846,0.097863522,0.13982934
sub-0802,0.6931667006,0.5617773244,0.7442154953,0.8335113898,1.067679873,0.7819030358,0.08945308729,0.7002568472,0.2993007977,0.3408244121,0.5703552887,0.84956641,0.549368702
sub-0856,-0.2178945725,-0.04750512925,0.770008643,0.9167845036,0.61077074,0.6576408947,0.1800522565,0.05100823518,-0.1747919997,0.0081206927,-0.2267949126,0.095484744,-0.097660802
sub-1110,0.1396831466,0.4158093672,0.3012985482,0.1560409177,0.03940782055,-0.1438112784,0.1660867298,0.2474978091,-0.2857233597,0.01644589858,0.07596062335,0.042495732,-0.278270305
sub-1127,-0.4097188116,-0.336469449,0.7874519736,0.856265482,0.9933983061,0.7833331555,0.6122768708,0.2684745802,-0.1072317455,-0.0246764352,0.06156658899,0.279126061,-0.132386217
sub-1264,-0.1108007829,-0.3298386903,0.05582061214,-0.3326920416,-0.06506248116,0.211541261,0.1856978055,0.2602061263,0.3572465928,-0.2295949931,-0.07694489133,0.416654829,0.303735847
sub-1274,-0.7257938309,-0.7749073043,0.5514139588,0.7026680132,0.7399035604,0.3642084231,0.1871009397,0.2272592974,0.1733402585,-0.2214666697,-0.3171056074,-0.049475944,0.099180912
sub-1348,-0.4380105646,-0.3351593751,0.4803819384,0.7047964772,0.5260335354,0.4779211217,0.3341555782,0.1646453625,0.2731722209,-0.1451041789,0.04891041775,0.241168755,0.391741864
sub-1403,-0.7325301456,-0.4753192076,0.6355830391,0.62100971,0.798582796,0.7198319837,0.5078765958,0.1577738959,0.4547534841,-0.1922033097,-0.09487199622,0.295120248,0.064640352
sub-1490,-0.6262874768,-0.8998746717,0.3763738569,0.7316933082,0.7988352687,0.4045613359,-0.1262153356,0.1062952312,0.1416938806,0.07683004144,-0.02017997985,-0.109898452,-0.192475413
sub-1596,-0.6810109218,-0.8599790065,0.6483111451,0.9368136993,0.759599788,0.803652846,0.159214369,0.2786157591,0.4341514384,-0.1630251492,-0.249429992,-0.084224748,0.115165748
sub-1714,-0.7219177703,-0.494904789,0.4158039046,0.3015777564,0.3637384275,0.2897230417,0.1970989725,0.1977053953,-0.2510008534,-0.08907017083,-0.2584121449,0.383825305,0.137651624
sub-1745,-0.5087685282,-0.6102687109,0.6582520975,0.6055265876,0.9443506726,0.5989485247,0.5637539171,0.4813896012,0.1969746418,0.01486483343,-0.2640365618,0.398550042,0.238305723
sub-1764,-0.4795056771,-0.433559245,0.00110954815,0.6663794757,0.2957061062,0.2734567372,0.1416738329,-0.02724743173,-0.1961077303,0.04030731257,-0.1820883669,0.211975557,-0.172483722
sub-1908,-0.4556124295,-0.7751219623,0.8038473548,0.5758197936,0.7162276818,0.8459759917,0.1977724398,0.4132607332,0.4430348739,0.1093596424,-0.115512253,0.047012057,0.009428895
sub-1938,-0.4943742858,-0.6191333977,0.7083827143,0.5282343488,0.9956826599,0.6835743759,0.06103170683,0.1268864444,0.2524750362,-0.1320767822,-0.1904171989,0.088119829,0.109800683
sub-2004,-0.5147517777,-0.391495192,0.5198654825,0.3927674105,0.1763189409,0.4410501568,0.1649267932,0.2660604787,0.09844621811,-0.06711876592,-0.299230499,0.261815393,0.069140474
sub-2093,0.08592872481,0.2954655916,-0.08338044125,-0.1541265006,-0.1662356384,-0.164955929,0.1449427985,-0.07020324319,-0.02652872871,0.3662634454,-0.1295091988,0.447684518,0.287208263
sub-2105,-0.7112487448,-0.8999112978,0.3683331448,0.849052846,0.9727105812,0.7814210579,0.387234406,0.2245400064,0.04141708294,-0.07850551653,-0.2161061627,0.343660324,0.255278841
sub-2159,-0.5631055008,-0.7066131,1.052527202,0.8314708722,0.9661974188,0.5077152162,0.3755517062,-0.1326439361,0.07840189421,-0.06839736723,-0.2598647475,0.266135983,0.142645423
sub-2263,-0.5381988666,-0.4079362238,0.8855770553,0.03008002159,0.1100938003,0.279753278,0.2849963441,0.2675986882,0.2240166886,-0.1302985834,-0.1431542868,0.145621604,0.185907067
sub-2306,-0.2347033207,-0.6219838666,-0.3579381716,-0.01350130539,0.3463352048,0.3302062059,0.3976269213,-0.355994153,-0.07469619354,-0.1076125677,-0.444257785,0.08912275,0.020708366
sub-2348,-0.8515692975,-0.8032927413,0.9185718834,1.063788392,0.5900801283,0.8108051379,0.4961178138,0.2526093076,0.1501618677,-0.1990616847,-0.172244688,0.416265651,0.080914089
sub-2442,-0.3521191974,-0.7618683717,0.2103755646,0.118425321,0.5442849602,0.2762060922,-0.06658350503,0.1778949842,0.4240517677,0.02251352899,-0.1491620597,0.144826619,0.120892874
sub-2498,0.2959651922,0.3734433328,0.4134972534,1.044192393,0.6831831181,0.6044968956,0.04235535765,0.1950090871,0.2037719749,0.2186357494,-0.239791001,-0.127613482,-0.094962145
